route_id,route_short_name,route_long_name,route_desc,route_type,route_url
2-10259,2,"",,3,http://www.action.act.gov.au/routes/2_dickson
3-10259,3,"",,3,http://www.action.act.gov.au/routes/3_belconnen
4-10259,4,"",,3,http://www.action.act.gov.au/routes/4_city
5-10259,5,"",,3,http://www.action.act.gov.au/routes/5_city
6-10259,6,"",,3,http://www.action.act.gov.au/routes/6_dickson
7-10259,7,"",,3,http://www.action.act.gov.au/routes/7_belconnen
8-10259,8,"",,3,http://www.action.act.gov.au/routes/8_city
9-10259,9,"",,3,http://www.action.act.gov.au/routes/9_city
10-10259,10,"",,3,http://www.action.act.gov.au/routes/10_belconnen
11-10259,11,"",,3,http://www.action.act.gov.au/routes/11_111_city
12-10259,12,"",,3,http://www.action.act.gov.au/routes/12_312_spence
13-10259,13,"",,3,http://www.action.act.gov.au/routes/13_313_fraser
14-10259,14,"",,3,http://www.action.act.gov.au/routes/14_314_fraser
15-10259,15,"",,3,http://www.action.act.gov.au/routes/15_315_spence
16-10259,16,"",,3,http://www.action.act.gov.au/routes/16_kippax
17-10259,17,"",,3,http://www.action.act.gov.au/routes/17_kippax
18-10259,18,"",,3,http://www.action.act.gov.au/routes/18_318_kippax
19-10259,19,"",,3,http://www.action.act.gov.au/routes/19_319_kippax
21-10259,21,"",,3,http://www.action.act.gov.au/routes/21_loop
22-10259,22,"",,3,http://www.action.act.gov.au/routes/22_loop
23-10259,23,"",,3,http://www.action.act.gov.au/routes/23_loop
24-10259,24,"",,3,http://www.action.act.gov.au/routes/24_loop
25-10259,25,"",,3,http://www.action.act.gov.au/routes/25_225_campbell_park
26-10259,26,"",,3,http://www.action.act.gov.au/routes/26_226_campbell_park
27-10259,27,"",,3,http://www.action.act.gov.au/routes/27_227_campbell_park
28-10259,28,"",,3,http://www.action.act.gov.au/routes/28_fairbairn
30-10259,30,"",,3,http://www.action.act.gov.au/routes/30_city
31-10259,31,"",,3,http://www.action.act.gov.au/routes/31_belconnen
39-10259,39,"",,3,http://www.action.act.gov.au/routes/39_loop
43-10259,43,"",,3,http://www.action.act.gov.au/routes/43_loop
44-10259,44,"",,3,http://www.action.act.gov.au/routes/44_kippax
45-10259,45,"",,3,http://www.action.act.gov.au/routes/45_loop
50-10259,50,"",,3,http://www.action.act.gov.au/routes/50_gungahlin
51-10259,51,"",,3,http://www.action.act.gov.au/routes/51_belconnen
52-10259,52,"",,3,http://www.action.act.gov.au/routes/52_belconnen
55-10259,55,"",,3,http://www.action.act.gov.au/routes/55_loop
56-10259,56,"",,3,http://www.action.act.gov.au/routes/56_belconnen
57-10259,57,"",,3,http://www.action.act.gov.au/routes/57_city
58-10259,58,"",,3,http://www.action.act.gov.au/routes/58_belconnen
59-10259,59,"",,3,http://www.action.act.gov.au/routes/59_belconnen
60-10259,60,"",,3,http://www.action.act.gov.au/routes/60_160_city
61-10259,61,"",,3,http://www.action.act.gov.au/routes/61_161_city
62-10259,62,"",,3,http://www.action.act.gov.au/routes/62_162_city
63-10259,63,"",,3,http://www.action.act.gov.au/routes/63_campbell_park
64-10259,64,"",,3,http://www.action.act.gov.au/routes/64_woden
65-10259,65,"",,3,http://www.action.act.gov.au/routes/65_265_city
66-10259,66,"",,3,http://www.action.act.gov.au/routes/66_woden
67-10259,67,"",,3,http://www.action.act.gov.au/routes/67_267_city
71-10259,71,"",,3,http://www.action.act.gov.au/routes/71_loop
73-10259,73,"",,3,http://www.action.act.gov.au/routes/73_loop
74-10259,74,"",,3,http://www.action.act.gov.au/routes/74_loop
75-10259,75,"",,3,http://www.action.act.gov.au/routes/75_cooleman_court
76-10259,76,"",,3,http://www.action.act.gov.au/routes/76_loop
77-10259,77,"",,3,http://www.action.act.gov.au/routes/77_loop
80-10259,80,"",,3,http://www.action.act.gov.au/routes/80_city
81-10259,81,"",,3,http://www.action.act.gov.au/routes/81_loop
82-10259,82,"",,3,http://www.action.act.gov.au/routes/82_mitchell
88-10259,88,"",,3,http://www.action.act.gov.au/routes/88_woden
111-10259,111,"",,3,http://www.action.act.gov.au/routes/11_111_city
160-10259,160,"",,3,http://www.action.act.gov.au/routes/60_160_city
161-10259,161,"",,3,http://www.action.act.gov.au/routes/61_161_city
162-10259,162,"",,3,http://www.action.act.gov.au/routes/62_162_city
200-10259,200,"",,3,http://www.action.act.gov.au/routes/200_fyshwick
225-10259,225,"",,3,http://www.action.act.gov.au/routes/25_225_campbell_park
226-10259,226,"",,3,http://www.action.act.gov.au/routes/26_226_campbell_park
227-10259,227,"",,3,http://www.action.act.gov.au/routes/27_227_campbell_park
265-10259,265,"",,3,http://www.action.act.gov.au/routes/65_265_city
267-10259,267,"",,3,http://www.action.act.gov.au/routes/67_267_city
300-10259,300,"",,3,http://www.action.act.gov.au/routes/300_belconnen
312-10259,312,"",,3,http://www.action.act.gov.au/routes/12_312_spence
313-10259,313,"",,3,http://www.action.act.gov.au/routes/13_313_fraser
314-10259,314,"",,3,http://www.action.act.gov.au/routes/14_314_fraser
315-10259,315,"",,3,http://www.action.act.gov.au/routes/15_315_spence
318-10259,318,"",,3,http://www.action.act.gov.au/routes/18_318_kippax
319-10259,319,"",,3,http://www.action.act.gov.au/routes/19_319_kippax
701-10259,701,"",,3,http://www.action.act.gov.au/routes/xpresso/701_spence
702-10259,702,"",,3,http://www.action.act.gov.au/routes/xpresso/702_fraser
703-10259,703,"",,3,http://www.action.act.gov.au/routes/xpresso/703_fraser
704-10259,704,"",,3,http://www.action.act.gov.au/routes/xpresso/704_kippax
705-10259,705,"",,3,http://www.action.act.gov.au/routes/xpresso/705_belconnen
710-10259,710,"",,3,http://www.action.act.gov.au/routes/xpresso/710_belconnen
720-10259,720,"",,3,http://www.action.act.gov.au/routes/xpresso/720_city
