trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
20810375-2013-COMBMAST-Saturday-17,6:51:00,6:51:00,4531,12,0,0
20810378-2013-COMBMAST-Saturday-17,7:06:00,7:06:00,4531,12,0,0
20810558-2013-COMBMAST-Saturday-17,7:21:00,7:21:00,4531,12,0,0
20810387-2013-COMBMAST-Saturday-17,7:37:00,7:37:00,4531,12,0,0
20810399-2013-COMBMAST-Saturday-17,7:53:00,7:53:00,4531,12,0,0
20810411-2013-COMBMAST-Saturday-17,8:08:00,8:08:00,4531,12,0,0
20810689-2013-COMBMAST-Saturday-17,8:23:00,8:23:00,4531,12,0,0
20810429-2013-COMBMAST-Saturday-17,8:34:00,8:34:00,4531,30,0,0
20817642-2013-COMBMAST-Saturday-17,8:38:00,8:38:00,4531,12,0,0
20810592-2013-COMBMAST-Saturday-17,8:52:00,8:52:00,4531,58,0,0
20817691-2013-COMBMAST-Saturday-17,8:53:00,8:53:00,4531,12,0,0
20817762-2013-COMBMAST-Saturday-17,9:08:00,9:08:00,4531,12,0,0
20817775-2013-COMBMAST-Saturday-17,9:23:00,9:23:00,4531,12,0,0
20817713-2013-COMBMAST-Saturday-17,9:34:00,9:34:00,4531,30,0,0
20817659-2013-COMBMAST-Saturday-17,9:38:00,9:38:00,4531,12,0,0
20810725-2013-COMBMAST-Saturday-17,9:52:00,9:52:00,4531,58,0,0
20810835-2013-COMBMAST-Saturday-17,9:53:00,9:53:00,4531,12,0,0
20817809-2013-COMBMAST-Saturday-17,10:08:00,10:08:00,4531,12,0,0
20817726-2013-COMBMAST-Saturday-17,10:23:00,10:23:00,4531,12,0,0
20810753-2013-COMBMAST-Saturday-17,10:34:00,10:34:00,4531,30,0,0
20810412-2013-COMBMAST-Saturday-17,10:38:00,10:38:00,4531,12,0,0
20810512-2013-COMBMAST-Saturday-17,10:52:00,10:52:00,4531,58,0,0
20810510-2013-COMBMAST-Saturday-17,10:53:00,10:53:00,4531,12,0,0
20817671-2013-COMBMAST-Saturday-17,11:08:00,11:08:00,4531,12,0,0
20810419-2013-COMBMAST-Saturday-17,11:15:00,11:15:00,4531,12,0,0
20817686-2013-COMBMAST-Saturday-17,11:23:00,11:23:00,4531,12,0,0
20810723-2013-COMBMAST-Saturday-17,11:34:00,11:34:00,4531,30,0,0
20810724-2013-COMBMAST-Saturday-17,11:38:00,11:38:00,4531,12,0,0
20810706-2013-COMBMAST-Saturday-17,11:45:00,11:45:00,4531,12,0,0
20810396-2013-COMBMAST-Saturday-17,11:52:00,11:52:00,4531,58,0,0
20817597-2013-COMBMAST-Saturday-17,11:53:00,11:53:00,4531,12,0,0
20810688-2013-COMBMAST-Saturday-17,12:08:00,12:08:00,4531,12,0,0
20810574-2013-COMBMAST-Saturday-17,12:15:00,12:15:00,4531,12,0,0
20817761-2013-COMBMAST-Saturday-17,12:23:00,12:23:00,4531,12,0,0
20817825-2013-COMBMAST-Saturday-17,12:34:00,12:34:00,4531,30,0,0
20817776-2013-COMBMAST-Saturday-17,12:38:00,12:38:00,4531,12,0,0
20810682-2013-COMBMAST-Saturday-17,12:45:00,12:45:00,4531,12,0,0
20817909-2013-COMBMAST-Saturday-17,12:52:00,12:52:00,4531,58,0,0
20817703-2013-COMBMAST-Saturday-17,12:53:00,12:53:00,4531,12,0,0
20810516-2013-COMBMAST-Saturday-17,13:08:00,13:08:00,4531,12,0,0
20810714-2013-COMBMAST-Saturday-17,13:15:00,13:15:00,4531,12,0,0
20817771-2013-COMBMAST-Saturday-17,13:23:00,13:23:00,4531,12,0,0
20810748-2013-COMBMAST-Saturday-17,13:34:00,13:34:00,4531,30,0,0
20817617-2013-COMBMAST-Saturday-17,13:38:00,13:38:00,4531,12,0,0
20810693-2013-COMBMAST-Saturday-17,13:45:00,13:45:00,4531,12,0,0
20817984-2013-COMBMAST-Saturday-17,13:52:00,13:52:00,4531,58,0,0
20817679-2013-COMBMAST-Saturday-17,13:53:00,13:53:00,4531,12,0,0
20817623-2013-COMBMAST-Saturday-17,14:08:00,14:08:00,4531,12,0,0
20810729-2013-COMBMAST-Saturday-17,14:15:00,14:15:00,4531,12,0,0
20817598-2013-COMBMAST-Saturday-17,14:23:00,14:23:00,4531,12,0,0
20810820-2013-COMBMAST-Saturday-17,14:34:00,14:34:00,4531,30,0,0
20810567-2013-COMBMAST-Saturday-17,14:38:00,14:38:00,4531,12,0,0
20817736-2013-COMBMAST-Saturday-17,14:45:00,14:45:00,4531,12,0,0
20817645-2013-COMBMAST-Saturday-17,14:52:00,14:52:00,4531,58,0,0
20810703-2013-COMBMAST-Saturday-17,14:53:00,14:53:00,4531,12,0,0
20817835-2013-COMBMAST-Saturday-17,15:08:00,15:08:00,4531,12,0,0
20810828-2013-COMBMAST-Saturday-17,15:15:00,15:15:00,4531,12,0,0
20817706-2013-COMBMAST-Saturday-17,15:23:00,15:23:00,4531,12,0,0
20810455-2013-COMBMAST-Saturday-17,15:34:00,15:34:00,4531,30,0,0
20810713-2013-COMBMAST-Saturday-17,15:38:00,15:38:00,4531,12,0,0
20810494-2013-COMBMAST-Saturday-17,15:45:00,15:45:00,4531,12,0,0
20810855-2013-COMBMAST-Saturday-17,15:52:00,15:52:00,4531,58,0,0
20810722-2013-COMBMAST-Saturday-17,15:53:00,15:53:00,4531,12,0,0
20810698-2013-COMBMAST-Saturday-17,16:08:00,16:08:00,4531,12,0,0
20810498-2013-COMBMAST-Saturday-17,16:15:00,16:15:00,4531,12,0,0
20818072-2013-COMBMAST-Saturday-17,16:23:00,16:23:00,4531,12,0,0
20817893-2013-COMBMAST-Saturday-17,16:34:00,16:34:00,4531,30,0,0
20817887-2013-COMBMAST-Saturday-17,16:38:00,16:38:00,4531,12,0,0
20817936-2013-COMBMAST-Saturday-17,16:52:00,16:52:00,4531,58,0,0
20818104-2013-COMBMAST-Saturday-17,16:53:00,16:53:00,4531,12,0,0
20818231-2013-COMBMAST-Saturday-17,17:08:00,17:08:00,4531,12,0,0
20810615-2013-COMBMAST-Saturday-17,17:23:00,17:23:00,4531,12,0,0
20810450-2013-COMBMAST-Saturday-17,17:34:00,17:34:00,4531,30,0,0
20818161-2013-COMBMAST-Saturday-17,17:38:00,17:38:00,4531,12,0,0
20810829-2013-COMBMAST-Saturday-17,17:52:00,17:52:00,4531,58,0,0
20810718-2013-COMBMAST-Saturday-17,17:53:00,17:53:00,4531,12,0,0
20817949-2013-COMBMAST-Saturday-17,18:08:00,18:08:00,4531,12,0,0
20817915-2013-COMBMAST-Saturday-17,18:23:00,18:23:00,4531,12,0,0
20818119-2013-COMBMAST-Saturday-17,18:34:00,18:34:00,4531,30,0,0
20810732-2013-COMBMAST-Saturday-17,18:38:00,18:38:00,4531,12,0,0
20810749-2013-COMBMAST-Saturday-17,18:50:00,18:50:00,4531,58,0,0
20817937-2013-COMBMAST-Saturday-17,18:52:00,18:52:00,4531,12,0,0
20810519-2013-COMBMAST-Saturday-17,19:07:00,19:07:00,4531,12,0,0
20810652-2013-COMBMAST-Saturday-17,19:22:00,19:22:00,4531,12,0,0
20810644-2013-COMBMAST-Saturday-17,19:32:00,19:32:00,4531,30,0,0
20818274-2013-COMBMAST-Saturday-17,19:37:00,19:37:00,4531,12,0,0
20810532-2013-COMBMAST-Saturday-17,19:48:00,19:48:00,4531,58,0,0
20810526-2013-COMBMAST-Saturday-17,19:52:00,19:52:00,4531,12,0,0
20818295-2013-COMBMAST-Saturday-17,20:07:00,20:07:00,4531,12,0,0
20818126-2013-COMBMAST-Saturday-17,20:22:00,20:22:00,4531,12,0,0
20818107-2013-COMBMAST-Saturday-17,20:32:00,20:32:00,4531,30,0,0
20818229-2013-COMBMAST-Saturday-17,20:37:00,20:37:00,4531,12,0,0
20818282-2013-COMBMAST-Saturday-17,20:38:00,20:38:00,4531,58,0,0
20818071-2013-COMBMAST-Saturday-17,20:52:00,20:52:00,4531,12,0,0
20810731-2013-COMBMAST-Saturday-17,21:07:00,21:07:00,4531,12,0,0
20810816-2013-COMBMAST-Saturday-17,21:22:00,21:22:00,4531,12,0,0
20810825-2013-COMBMAST-Saturday-17,21:32:00,21:32:00,4531,30,0,0
20810743-2013-COMBMAST-Saturday-17,21:37:00,21:37:00,4531,12,0,0
20818141-2013-COMBMAST-Saturday-17,21:38:00,21:38:00,4531,58,0,0
20810790-2013-COMBMAST-Saturday-17,21:52:00,21:52:00,4531,12,0,0
20818207-2013-COMBMAST-Saturday-17,22:07:00,22:07:00,4531,12,0,0
20818023-2013-COMBMAST-Saturday-17,22:22:00,22:22:00,4531,12,0,0
20818100-2013-COMBMAST-Saturday-17,22:32:00,22:32:00,4531,30,0,0
20818093-2013-COMBMAST-Saturday-17,22:37:00,22:37:00,4531,12,0,0
20818134-2013-COMBMAST-Saturday-17,22:38:00,22:38:00,4531,58,0,0
20818220-2013-COMBMAST-Saturday-17,22:52:00,22:52:00,4531,12,0,0
20818271-2013-COMBMAST-Saturday-17,23:07:00,23:07:00,4531,12,0,0
20818175-2013-COMBMAST-Saturday-17,23:22:00,23:22:00,4531,12,0,0
20818139-2013-COMBMAST-Saturday-17,23:38:00,23:38:00,4531,58,0,0
20811297-2013-COMBMAST-Sunday-16,7:53:00,7:53:00,4531,12,0,0
20811230-2013-COMBMAST-Sunday-16,8:08:00,8:08:00,4531,12,0,0
20811234-2013-COMBMAST-Sunday-16,8:23:00,8:23:00,4531,12,0,0
20811239-2013-COMBMAST-Sunday-16,8:34:00,8:34:00,4531,30,0,0
20811342-2013-COMBMAST-Sunday-16,8:38:00,8:38:00,4531,12,0,0
20811253-2013-COMBMAST-Sunday-16,8:53:00,8:53:00,4531,12,0,0
20811570-2013-COMBMAST-Sunday-16,9:08:00,9:08:00,4531,12,0,0
20818346-2013-COMBMAST-Sunday-16,9:23:00,9:23:00,4531,12,0,0
20811376-2013-COMBMAST-Sunday-16,9:34:00,9:34:00,4531,30,0,0
20811503-2013-COMBMAST-Sunday-16,9:38:00,9:38:00,4531,12,0,0
20818330-2013-COMBMAST-Sunday-16,9:52:00,9:52:00,4531,58,0,0
20811251-2013-COMBMAST-Sunday-16,9:53:00,9:53:00,4531,12,0,0
20818396-2013-COMBMAST-Sunday-16,10:08:00,10:08:00,4531,12,0,0
20811367-2013-COMBMAST-Sunday-16,10:23:00,10:23:00,4531,12,0,0
20811511-2013-COMBMAST-Sunday-16,10:34:00,10:34:00,4531,30,0,0
20811483-2013-COMBMAST-Sunday-16,10:38:00,10:38:00,4531,12,0,0
20811296-2013-COMBMAST-Sunday-16,10:52:00,10:52:00,4531,58,0,0
20811535-2013-COMBMAST-Sunday-16,10:53:00,10:53:00,4531,12,0,0
20811540-2013-COMBMAST-Sunday-16,11:08:00,11:08:00,4531,12,0,0
20811391-2013-COMBMAST-Sunday-16,11:23:00,11:23:00,4531,12,0,0
20811349-2013-COMBMAST-Sunday-16,11:34:00,11:34:00,4531,30,0,0
20811289-2013-COMBMAST-Sunday-16,11:38:00,11:38:00,4531,12,0,0
20811383-2013-COMBMAST-Sunday-16,11:52:00,11:52:00,4531,58,0,0
20811237-2013-COMBMAST-Sunday-16,11:53:00,11:53:00,4531,12,0,0
20811537-2013-COMBMAST-Sunday-16,12:08:00,12:08:00,4531,12,0,0
20811498-2013-COMBMAST-Sunday-16,12:23:00,12:23:00,4531,12,0,0
20811326-2013-COMBMAST-Sunday-16,12:34:00,12:34:00,4531,30,0,0
20818502-2013-COMBMAST-Sunday-16,12:38:00,12:38:00,4531,12,0,0
