route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
7-10259,2013-COMBMAST-Weekday-17,20806839-2013-COMBMAST-Weekday-17,"South",1,4135083,70029,2
80-10259,2013-COMBMAST-Weekday-17,20806840-2013-COMBMAST-Weekday-17,"South",1,4135083,800018,2
66-10259,2013-COMBMAST-Weekday-17,20806841-2013-COMBMAST-Weekday-17,"South",1,4135083,660015,2
63-10259,2013-COMBMAST-Weekday-17,20806842-2013-COMBMAST-Weekday-17,"North",0,4135083,630015,2
26-10259,2013-COMBMAST-Weekday-17,20806843-2013-COMBMAST-Weekday-17,"South",1,4135083,260016,2
26-10259,2013-COMBMAST-Weekday-17,20806844-2013-COMBMAST-Weekday-17,"North",0,4135083,260015,2
314-10259,2013-COMBMAST-Weekday-17,20806845-2013-COMBMAST-Weekday-17,"South",1,4135330,3140012,1
314-10259,2013-COMBMAST-Weekday-17,20806846-2013-COMBMAST-Weekday-17,"North",0,4135330,3140011,1
300-10259,2013-COMBMAST-Weekday-17,20806847-2013-COMBMAST-Weekday-17,"North",0,4135082,3000018,1
59-10259,2013-COMBMAST-Weekday-17,20806848-2013-COMBMAST-Weekday-17,"South",1,4135082,590025,1
55-10259,2013-COMBMAST-Weekday-17,20806849-2013-COMBMAST-Weekday-17,"Counterclockwise",1,4135082,550009,1
51-10259,2013-COMBMAST-Weekday-17,20806850-2013-COMBMAST-Weekday-17,"South",1,4135081,510031,2
7-10259,2013-COMBMAST-Weekday-17,20806852-2013-COMBMAST-Weekday-17,"North",0,4135081,70022,2
3-10259,2013-COMBMAST-Weekday-17,20806853-2013-COMBMAST-Weekday-17,"South",1,4134919,30023,1
5-10259,2013-COMBMAST-Weekday-17,20806854-2013-COMBMAST-Weekday-17,"North",0,4135223,50026,1
8-10259,2013-COMBMAST-Weekday-17,20806856-2013-COMBMAST-Weekday-17,"South",1,4135223,80015,1
8-10259,2013-COMBMAST-Weekday-17,20806857-2013-COMBMAST-Weekday-17,"North",0,4135223,80014,1
8-10259,2013-COMBMAST-Weekday-17,20806858-2013-COMBMAST-Weekday-17,"South",1,4135223,80015,1
31-10259,2013-COMBMAST-Weekday-17,20806859-2013-COMBMAST-Weekday-17,"North",0,4135223,310012,1
21-10259,2013-COMBMAST-Weekday-17,20806860-2013-COMBMAST-Weekday-17,"Counterclockwise",1,4135132,210007,1
